Genetic_line,Treatment,Replicate,Total prepupal number,Total prepupal weight,avg_pupal_weight,SGR_per_day,SGR_regression_R2,Lefterover dry(g),DM_reduction,Larval day,The first day to become prepupae,prepupation_rate,The first pupa occurs(day),The last successful pupa occurs (day),pupal _umber,pupation_rate,The first day to emerge,The last one emerged (day),eclosion_number,eclosion_rate,feeding_duration,larval_duration,pupal_duration,pupal_development_span,adult_eclosion_span
A,CF,1,183,44.388,0.242557377,0.387569737,0.919255085,58.6492,60.90053333,15.50819672,14,0.915,21,51,41,0.82,30,61,40,0.975609756,14,21,9,30,31
A,CF,2,76,18.861,0.248171053,0.370643884,0.959876669,61.9322,58.71186667,15.67105263,15,0.38,21,49,38,0.76,31,57,37,0.973684211,15,21,10,28,26
A,CF,3,174,41.729,0.239821839,0.371602292,0.954902849,58.1609,61.22606667,14.77011494,13,0.87,22,49,44,0.88,30,58,42,0.954545455,13,22,8,27,28
B,CF,1,170,42.456,0.249741176,0.404316158,0.903504035,62.145,58.57,15.87647059,14,0.85,24,55,30,0.6,33,65,30,1,14,24,9,31,32
B,CF,2,136,32.514,0.239073529,0.384090013,0.980433616,61.1507,59.23286667,15.56617647,15,0.68,23,70,30,0.6,33,80,30,1,15,23,10,47,47
B,CF,3,93,23.199,0.249451613,0.364937225,0.980773034,66.434,55.71066667,15.47311828,14,0.465,23,53,31,0.62,33,61,31,1,14,23,10,30,28
C,CF,1,182,44.536,0.244703297,0.350296216,0.966532048,56.3979,62.4014,14.34065934,13,0.91,21,35,46,0.92,30,45,45,0.97826087,13,21,9,14,15
C,CF,2,199,48.699,0.244718593,0.348784597,0.963403374,56.8239,62.1174,14.07537688,13,0.995,21,34,50,1,28,49,50,1,13,21,7,13,21
C,CF,3,199,47.658,0.239487437,0.355538,0.934562076,54.7334,63.51106667,14.52763819,13,0.995,21,34,45,0.9,30,49,45,1,13,21,9,13,19
D,CF,1,191,46.121,0.241471204,0.329685825,0.970859781,59.0675,60.62166667,14.21465969,13,0.955,21,51,38,0.76,30,60,38,1,13,21,9,30,30
D,CF,2,198,48.724,0.246080808,0.327195788,0.962547846,56.467,62.35533333,14.35353535,13,0.99,21,50,44,0.88,30,60,44,1,13,21,9,29,30
D,CF,3,193,47.948,0.248435233,0.348103943,0.944978279,52.0213,65.31913333,15.01036269,13,0.965,21,44,38,0.76,30,54,38,1,13,21,9,23,24
E,CF,1,180,42.974,0.238744444,0.372324076,0.91175788,61.5533,58.96446667,15.92777778,14,0.9,22,47,41,0.82,31,56,40,0.975609756,14,22,9,25,25
E,CF,2,152,38.547,0.253598684,0.379767293,0.908653554,64.9435,56.70433333,15.36842105,14,0.76,21,58,44,0.88,30,65,44,1,14,21,9,37,35
E,CF,3,180,45.88,0.254888889,0.373059831,0.921384514,61.3083,59.1278,15.8,14,0.9,21,65,42,0.84,30,74,42,1,14,21,9,44,44
WT_1,CF,1,120,32.303,0.269191667,0.372332485,0.973844101,67.1012,55.26586667,15.675,14,0.6,21,32,50,1,30,41,49,0.98,14,21,9,11,11
WT_1,CF,2,177,46.67,0.263672316,0.391394515,0.962141563,66.494,55.67066667,16.01129944,15,0.885,21,25,50,1,28,35,50,1,15,21,7,4,7
WT_1,CF,3,135,32.269,0.23902963,0.385760739,0.969119134,89.0639,40.62406667,17.04444444,15,0.675,21,39,50,1,30,52,50,1,15,21,9,18,22
WT_2,CF,1,193,46.695,0.241943005,0.437502025,0.972904807,55.175,63.21666667,12.74611399,12,0.965,18,27,50,1,27,37,50,1,12,18,9,9,10
WT_2,CF,2,198,48.919,0.247065657,0.437438322,0.986403563,54.2137,63.85753333,13.1969697,12,0.99,19,24,50,1,28,35,50,1,12,19,9,5,7
WT_2,CF,3,199,46.886,0.23560804,0.411388186,0.939091585,59.8911,60.0726,12.75376884,12,0.995,18,27,50,1,27,37,50,1,12,18,9,9,10
SW,CF,1,199,45.942,0.230864322,0.392692646,0.984389102,57.3475,61.76833333,12.5879397,12,0.995,18,32,43,0.86,28,44,43,1,12,18,10,14,16
SW,CF,2,192,44.161,0.230005208,0.406726633,0.969947945,57.7298,61.51346667,12.42708333,12,0.96,18,32,44,0.88,28,43,44,1,12,18,10,14,15
SW,CF,3,187,40.645,0.217352941,0.403400358,0.987391288,58.1095,61.26033333,12.46524064,12,0.935,18,32,41,0.82,27,42,39,0.951219512,12,18,9,14,15
A,FW,1,181,46.587,0.25738674,0.387399479,0.944396799,53.3806,64.41293333,15.1878453,12,0.905,23,29,89,0.988888889,30,39,88,0.988764045,12,23,7,6,9
A,FW,2,196,50.81,0.259234694,0.393770833,0.945178429,48.901,67.39933333,15.17857143,13,0.98,23,27,89,0.988888889,30,35,89,1,13,23,7,4,5
