ID,Sex,Genetic_line,Replicate,Treatment,Date of Eclosion,Date of Death,Group
A1_01,F,A,1,CF,4/4/2023,19/4/2023,A_CF
A1_02,F,A,1,CF,3/4/2023,12/4/2023,A_CF
A1_04,F,A,1,CF,1/4/2023,14/4/2023,A_CF
A1_05,M,A,1,CF,1/4/2023,16/4/2023,A_CF
A1_06,M,A,1,CF,4/4/2023,12/4/2023,A_CF
A1_07,M,A,1,CF,2/4/2023,16/4/2023,A_CF
A1_08,F,A,1,CF,2/4/2023,11/4/2023,A_CF
A1_09,M,A,1,CF,4/4/2023,17/4/2023,A_CF
A1_11,F,A,1,CF,3/4/2023,11/4/2023,A_CF
A1_12,F,A,1,CF,3/4/2023,16/4/2023,A_CF
A1_13,M,A,1,CF,4/4/2023,19/4/2023,A_CF
A1_14,M,A,1,CF,5/4/2023,11/4/2023,A_CF
A1_15,M,A,1,CF,4/4/2023,15/4/2023,A_CF
A1_17,M,A,1,CF,5/4/2023,26/4/2023,A_CF
A1_19,M,A,1,CF,5/4/2023,17/4/2023,A_CF
A1_41,M,A,1,CF,2/5/2023,12/5/2023,A_CF
A2_01,M,A,2,CF,2/4/2023,16/4/2023,A_CF
A2_02,F,A,2,CF,4/4/2023,11/4/2023,A_CF
A2_03,M,A,2,CF,4/4/2023,14/4/2023,A_CF
A2_04,M,A,2,CF,4/4/2023,19/4/2023,A_CF
A2_05,M,A,2,CF,3/4/2023,14/4/2023,A_CF
A2_07,F,A,2,CF,4/4/2023,14/4/2023,A_CF
A2_08,M,A,2,CF,4/4/2023,18/4/2023,A_CF
A2_10,M,A,2,CF,4/4/2023,12/4/2023,A_CF
A2_12,F,A,2,CF,5/4/2023,16/4/2023,A_CF
A2_13,F,A,2,CF,5/4/2023,12/4/2023,A_CF
A3_01,F,A,3,CF,4/4/2023,16/4/2023,A_CF
A3_02,M,A,3,CF,4/4/2023,15/4/2023,A_CF
A3_03,M,A,3,CF,1/4/2023,16/4/2023,A_CF
A3_05,M,A,3,CF,4/4/2023,14/4/2023,A_CF
A3_06,M,A,3,CF,2/4/2023,16/4/2023,A_CF
